"FIPS","State","Year","Month","Employable Population","Employed","Unemployed"
"20","Kansas","1976","05","1,066,459   ","1,021,136   ","45,323   "
"21","Kentucky","1976","05","1,490,936   ","1,409,389   ","81,547   "
"22","Louisiana","1976","05","1,521,492   ","1,421,200   ","100,292   "
"23","Maine","1976","05","476,408   ","435,607   ","40,801   "
"24","Maryland","1976","05","1,908,475   ","1,783,003   ","125,472   "
"25","Massachusetts","1976","05","2,719,627   ","2,450,016   ","269,611   "
"26","Michigan","1976","05","3,982,406   ","3,599,367   ","383,039   "
"27","Minnesota","1976","05","1,839,691   ","1,735,701   ","103,990   "
"28","Mississippi","1976","05","966,295   ","905,971   ","60,324   "
"29","Missouri","1976","05","2,107,426   ","1,979,762   ","127,664   "
"30","Montana","1976","05","327,296   ","308,035   ","19,261   "
"31","Nebraska","1976","05","716,356   ","693,887   ","22,469   "
"32","Nevada","1976","05","326,152   ","297,525   ","28,627   "
"33","New Hampshire","1976","05","394,491   ","368,258   ","26,233   "
"34","New Jersey","1976","05","3,301,261   ","2,960,089   ","341,172   "
"35","New Mexico","1976","05","478,400   ","435,737   ","42,663   "
"36","New York","1976","05","7,699,911   ","6,917,563   ","782,348   "
"37","North Carolina","1976","05","2,604,867   ","2,446,767   ","158,100   "
"38","North Dakota","1976","05","277,312   ","267,566   ","9,746   "
"39","Ohio","1976","05","4,755,323   ","4,380,800   ","374,523   "
"40","Oklahoma","1976","05","1,183,247   ","1,114,483   ","68,764   "
"41","Oregon","1976","05","1,076,382   ","977,331   ","99,051   "
"42","Pennsylvania","1976","05","5,120,204   ","4,703,981   ","416,223   "
"44","Rhode Island","1976","05","435,966   ","400,890   ","35,076   "
"45","South Carolina","1976","05","1,291,116   ","1,199,126   ","91,990   "
"46","South Dakota","1976","05","308,764   ","299,427   ","9,337   "
"47","Tennessee","1976","05","1,837,093   ","1,729,974   ","107,119   "
"48","Texas","1976","05","5,684,052   ","5,350,734   ","333,318   "
"49","Utah","1976","05","522,952   ","493,574   ","29,378   "
"50","Vermont","1976","05","215,053   ","196,524   ","18,529   "
"51","Virginia","1976","05","2,334,945   ","2,199,661   ","135,284   "
"53","Washington","1976","05","1,593,891   ","1,455,187   ","138,704   "
"54","West Virginia","1976","05","700,747   ","646,032   ","54,715   "
"55","Wisconsin","1976","05","2,133,418   ","2,015,918   ","117,500   "
"56","Wyoming","1976","05","177,909   ","170,664   ","7,245   "
"01","Alabama","1976","06","1,493,270   ","1,396,510   ","96,760   "
"02","Alaska","1976","06","163,686   ","152,003   ","11,683   "
"04","Arizona","1976","06","984,254   ","890,022   ","94,232   "
"05","Arkansas","1976","06","887,726   ","825,275   ","62,451   "
"06","California","1976","06","9,870,502   ","8,990,510   ","879,992   "
"08","Colorado","1976","06","1,232,568   ","1,163,342   ","69,226   "
"09","Connecticut","1976","06","1,457,458   ","1,319,292   ","138,166   "
"10","Delaware","1976","06","264,322   ","240,938   ","23,384   "
"11","District of Columbia","1976","06","335,657   ","306,449   ","29,208   "
"12","Florida","1976","06","3,602,438   ","3,280,804   ","321,634   "
"13","Georgia","1976","06","2,267,990   ","2,087,124   ","180,866   "
"15","Hawaii","1976","06","410,779   ","371,272   ","39,507   "
"16","Idaho","1976","06","371,921   ","350,995   ","20,926   "
"17","Illinois","1976","06","5,148,731   ","4,811,721   ","337,010   "
"18","Indiana","1976","06","2,433,743   ","2,292,942   ","140,801   "
"19","Iowa","1976","06","1,335,660   ","1,283,290   ","52,370   "
"20","Kansas","1976","06","1,070,168   ","1,025,075   ","45,093   "
"21","Kentucky","1976","06","1,492,875   ","1,411,989   ","80,886   "
"22","Louisiana","1976","06","1,527,804   ","1,424,206   ","103,598   "
"23","Maine","1976","06","476,771   ","436,293   ","40,478   "
"24","Maryland","1976","06","1,912,938   ","1,785,651   ","127,287   "
"25","Massachusetts","1976","06","2,721,925   ","2,459,155   ","262,770   "
"26","Michigan","1976","06","3,996,173   ","3,620,055   ","376,118   "
"27","Minnesota","1976","06","1,846,239   ","1,743,269   ","102,970   "
"28","Mississippi","1976","06","969,806   ","909,950   ","59,856   "
"29","Missouri","1976","06","2,120,593   ","1,990,642   ","129,951   "
"30","Montana","1976","06","327,764   ","308,353   ","19,411   "
"31","Nebraska","1976","06","717,505   ","695,246   ","22,259   "
"32","Nevada","1976","06","328,597   ","300,068   ","28,529   "
"33","New Hampshire","1976","06","396,701   ","370,769   ","25,932   "
"34","New Jersey","1976","06","3,311,189   ","2,967,398   ","343,791   "
"35","New Mexico","1976","06","480,530   ","437,826   ","42,704   "
"36","New York","1976","06","7,710,197   ","6,926,350   ","783,847   "
"37","North Carolina","1976","06","2,611,298   ","2,456,438   ","154,860   "
"38","North Dakota","1976","06","278,512   ","268,372   ","10,140   "
"39","Ohio","1976","06","4,752,606   ","4,385,437   ","367,169   "
"40","Oklahoma","1976","06","1,185,470   ","1,117,372   ","68,098   "
"41","Oregon","1976","06","1,081,143   ","983,132   ","98,011   "
"42","Pennsylvania","1976","06","5,126,930   ","4,714,719   ","412,211   "
"44","Rhode Island","1976","06","436,521   ","401,452   ","35,069   "
"45","South Carolina","1976","06","1,292,328   ","1,201,890   ","90,438   "
"46","South Dakota","1976","06","308,993   ","299,623   ","9,370   "
"47","Tennessee","1976","06","1,851,184   ","1,743,304   ","107,880   "
"48","Texas","1976","06","5,714,998   ","5,381,718   ","333,280   "
"49","Utah","1976","06","525,864   ","496,755   ","29,109   "
"50","Vermont","1976","06","216,002   ","197,661   ","18,341   "
"51","Virginia","1976","06","2,339,651   ","2,204,049   ","135,602   "
"53","Washington","1976","06","1,604,708   ","1,464,167   ","140,541   "
"54","West Virginia","1976","06","698,539   ","645,282   ","53,257   "
